date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:32	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1567454661-ssl-df	https://andreacolosiosound.com/robots.txt		(from )
21:20:33	18013/18013	---MCZ	200	added ('OK')	text/html	etag:%2288474d5152e81ae5af2334bdcac150da-ssl-df%22	https://andreacolosiosound.com/en/	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/index.html	(from )
21:20:33	83/83	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2004%20Jul%202024%2013:20:34%20GMT	http://andreacolosiosound.com/img/logos/andrea-colosio-1200x627.jpg	C:/My%20Web%20Sites/1/andreacolosiosound.com/img/logos/andrea-colosio-1200x627.0.delayed	(from https://andreacolosiosound.com/en/)
21:20:36	9857/9857	---M--	200	added ('OK')	image/jpeg	etag:%22ce17ed1dad638085ea5397e8d0999dfd-ssl%22	https://andreacolosiosound.com/img/logos/andrea-colosio-1200x627.jpg	C:/My%20Web%20Sites/1/andreacolosiosound.com/img/logos/andrea-colosio-1200x627.jpg	(from https://andreacolosiosound.com/en/)
21:20:37	876/876	---M--	200	added ('OK')	image/png	etag:%22ec07351224b3477a3755ac950ebc6cc4-ssl%22	https://andreacolosiosound.com/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/1/andreacolosiosound.com/img/favicon/apple-touch-icon.png	(from https://andreacolosiosound.com/en/)
21:20:39	342/342	---M--	200	added ('OK')	image/png	etag:%22e6ee6498c5a0033a2fcd976f31926b77-ssl%22	https://andreacolosiosound.com/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/1/andreacolosiosound.com/img/favicon/favicon-32x32.png	(from https://andreacolosiosound.com/en/)
21:20:40	233/233	---M--	200	added ('OK')	image/png	etag:%22e156bea2569b41a4733af0d80b04020a-ssl%22	https://andreacolosiosound.com/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/1/andreacolosiosound.com/img/favicon/favicon-16x16.png	(from https://andreacolosiosound.com/en/)
21:20:42	39273/39273	---MCZ	200	added ('OK')	text/css	etag:%22422e55f3994dcc7bcf19c1de62fe607a-ssl-df%22	https://andreacolosiosound.com/css/style.min.css	C:/My%20Web%20Sites/1/andreacolosiosound.com/css/style.min.css	(from https://andreacolosiosound.com/en/)
21:20:43	11355/11355	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2222dd2a34cef11dc3142bf8f0357c9883-ssl-df%22	https://andreacolosiosound.com/en/works	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/works.6.delayed	(from https://andreacolosiosound.com/en/)
21:20:45	41212/41212	---MCZ	200	added ('OK')	text/html	etag:%2222dd2a34cef11dc3142bf8f0357c9883-ssl-df%22	https://andreacolosiosound.com/en/works/	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/works/index.html	(from https://andreacolosiosound.com/en/)
21:20:45	8777/8777	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%223b34d9e6b0bfe3b2197dd737b3d8b0d6-ssl-df%22	https://andreacolosiosound.com/en/about	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/about.7.delayed	(from https://andreacolosiosound.com/en/)
21:20:46	24837/24837	---MCZ	200	added ('OK')	text/html	etag:%223b34d9e6b0bfe3b2197dd737b3d8b0d6-ssl-df%22	https://andreacolosiosound.com/en/about/	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/about/index.html	(from https://andreacolosiosound.com/en/)
21:20:46	7532/7532	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2206b9031c4692aa0d2b8ef52cff677065-ssl-df%22	https://andreacolosiosound.com/en/what-i-do	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/what-i-do.8.delayed	(from https://andreacolosiosound.com/en/)
21:20:48	20882/20882	---MCZ	200	added ('OK')	text/html	etag:%2206b9031c4692aa0d2b8ef52cff677065-ssl-df%22	https://andreacolosiosound.com/en/what-i-do/	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/what-i-do/index.html	(from https://andreacolosiosound.com/en/)
21:20:48	8610/8610	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22c03b11282693b33f285e70d47f7a48a4-ssl-df%22	https://andreacolosiosound.com/en/news	C:/My%20Web%20Sites/1/andreacolosiosound.com/en/news.9.delayed	(from https://andreacolosiosound.com/en/)
